ID,Total Edits,Edit Time,Date
140361,84,24917,3/10/2015
140361,39,16316,3/11/2015
140361,38,15461,3/12/2015
140361,59,20908,3/13/2015
140361,38,17464,3/16/2015
140361,83,23440,3/17/2015
140361,64,21791,3/18/2015
140361,60,22254,3/19/2015
140361,60,20639,3/20/2015
140361,68,24564,3/22/2015
140362,62,18144,3/1/2015
140362,34,8881,3/2/2015
140362,13,3551,3/3/2015
140362,37,11558,3/4/2015
140362,15,4196,3/5/2015
140362,38,10783,3/6/2015
140362,15,4361,3/7/2015
140362,51,15745,3/8/2015
140362,66,17666,3/9/2015
140362,6,1733,3/10/2015
140362,50,15939,3/11/2015
140362,10,3037,3/12/2015
140362,57,20625,3/13/2015
140362,6,3359,3/14/2015
140362,69,19347,3/15/2015
140362,67,22683,3/16/2015
140362,69,22093,3/17/2015
140362,41,15889,3/18/2015
140362,9,3373,3/19/2015
140362,55,16452,3/20/2015
140362,7,2253,3/22/2015
140366,48,16220,3/1/2015
140366,63,15953,3/2/2015
140366,60,15663,3/3/2015
140366,60,14560,3/4/2015
140366,56,16708,3/6/2015
140366,71,17255,3/8/2015
140366,86,20958,3/9/2015
140366,52,14977,3/10/2015
140366,60,16941,3/11/2015
140366,62,16288,3/13/2015
140366,38,13127,3/15/2015
140366,60,17198,3/16/2015
140366,55,14966,3/17/2015
140366,54,16728,3/18/2015
140366,50,14133,3/20/2015
140366,61,16972,3/22/2015
140368,87,15141,3/9/2015
140368,60,16000,3/10/2015
140368,80,17130,3/11/2015
140368,95,18643,3/12/2015
140368,88,16113,3/13/2015
140368,111,16691,3/15/2015
140368,96,19282,3/16/2015
140368,106,18382,3/17/2015
140368,98,17776,3/18/2015
140368,88,15698,3/19/2015
140368,106,19588,3/22/2015
140371,106,32345,3/3/2015
140371,84,27530,3/4/2015
140371,62,19065,3/5/2015
140371,64,21096,3/6/2015
140371,69,30856,3/7/2015
140371,86,23981,3/10/2015
140371,86,27037,3/11/2015
140371,121,35897,3/12/2015
140371,109,36861,3/13/2015
140371,107,30081,3/14/2015
140371,53,22518,3/17/2015
140371,85,18246,3/18/2015
140371,69,17211,3/19/2015
140371,83,24195,3/21/2015
140372,38,18025,3/1/2015
140372,14,5326,3/2/2015
140372,38,14527,3/3/2015
140372,15,6057,3/4/2015
140372,55,17699,3/5/2015
140372,56,16306,3/6/2015
140372,61,20898,3/7/2015
140372,52,16848,3/8/2015
140372,7,0,3/9/2015
140372,35,12817,3/10/2015
140372,58,17226,3/11/2015
140372,48,17352,3/12/2015
140372,42,16118,3/13/2015
140372,59,21668,3/16/2015
140372,56,17290,3/17/2015
140372,2,1191,3/18/2015
140372,23,6952,3/19/2015
140372,53,18652,3/20/2015
140372,8,2603,3/21/2015
140372,97,23880,3/22/2015
140376,88,27823,3/2/2015
140376,48,21871,3/3/2015
140376,62,22191,3/4/2015
